transcript_id,gene_id
rna-gnl|cpbgf|cpbgf_1004000-RA,cpbgf_1004000
rna-gnl|cpbgf|cpbgf_1003990-RA,cpbgf_1003990
rna-gnl|cpbgf|cpbgf_1003980-RA,cpbgf_1003980
rna-gnl|cpbgf|cpbgf_1003970-RA,cpbgf_1003970
rna-gnl|cpbgf|cpbgf_1003960-RA,cpbgf_1003960
rna-gnl|cpbgf|cpbgf_1003950-RA,cpbgf_1003950
rna-gnl|cpbgf|cpbgf_1003920-RA,cpbgf_1003920
rna-gnl|cpbgf|cpbgf_1003910-RA,cpbgf_1003910
rna-gnl|cpbgf|cpbgf_1003900-RA,cpbgf_1003900
rna-gnl|cpbgf|cpbgf_1003890-RA,cpbgf_1003890
rna-cpbgf_1003875,cpbgf_1003875
rna-cpbgf_1003870,cpbgf_1003870
rna-cpbgf_1005860,cpbgf_1005860
rna-cpbgf_1008,cpbgf_1008
rna-gnl|cpbgf|cpbgf_10010-RA,cpbgf_10010
rna-cpbgf_10013,cpbgf_10013
rna-gnl|cpbgf|cpbgf_10020-RA,cpbgf_10020
rna-cpbgf_10015,cpbgf_10015
rna-gnl|cpbgf|cpbgf_10030-RA,cpbgf_10030
rna-cpbgf_10025,cpbgf_10025
rna-gnl|cpbgf|cpbgf_10040-RA,cpbgf_10040
rna-gnl|cpbgf|cpbgf_10050-RA,cpbgf_10050
rna-cpbgf_10065,cpbgf_10065
rna-gnl|cpbgf|cpbgf_10060-RA,cpbgf_10060
rna-gnl|cpbgf|cpbgf_10070-RA,cpbgf_10070
rna-gnl|cpbgf|cpbgf_10080-RA,cpbgf_10080
rna-gnl|cpbgf|cpbgf_10090-RA,cpbgf_10090
rna-gnl|cpbgf|cpbgf_100100-RA,cpbgf_100100
rna-gnl|cpbgf|cpbgf_100110-RA,cpbgf_100110
rna-gnl|cpbgf|cpbgf_100120-RA,cpbgf_100120
rna-gnl|cpbgf|cpbgf_100130-RA,cpbgf_100130
rna-cpbgf_100135,cpbgf_100135
rna-gnl|cpbgf|cpbgf_100140-RA,cpbgf_100140
rna-gnl|cpbgf|cpbgf_100150-RA,cpbgf_100150
rna-gnl|cpbgf|cpbgf_100160-RA,cpbgf_100160
rna-gnl|cpbgf|cpbgf_100170-RA,cpbgf_100170
rna-gnl|cpbgf|cpbgf_100180-RA,cpbgf_100180
rna-gnl|cpbgf|cpbgf_100190-RA,cpbgf_100190
rna-gnl|cpbgf|cpbgf_100200-RA,cpbgf_100200
rna-gnl|cpbgf|cpbgf_100203-RA,cpbgf_100203
rna-gnl|cpbgf|cpbgf_100210-RA,cpbgf_100210
rna-gnl|cpbgf|cpbgf_100220-RA,cpbgf_100220
rna-gnl|cpbgf|cpbgf_100230-RA,cpbgf_100230
rna-gnl|cpbgf|cpbgf_100240-RA,cpbgf_100240
rna-gnl|cpbgf|cpbgf_100250-RA,cpbgf_100250
rna-cpbgf_100245,cpbgf_100245
rna-gnl|cpbgf|cpbgf_100260-RA,cpbgf_100260
rna-gnl|cpbgf|cpbgf_100270-RA,cpbgf_100270
rna-gnl|cpbgf|cpbgf_100280-RA,cpbgf_100280
rna-gnl|cpbgf|cpbgf_100290-RA,cpbgf_100290
rna-gnl|cpbgf|cpbgf_100300-RA,cpbgf_100300
rna-gnl|cpbgf|cpbgf_100310-RA,cpbgf_100310
rna-gnl|cpbgf|cpbgf_100320-RA,cpbgf_100320
rna-cpbgf_100315,cpbgf_100315
rna-gnl|cpbgf|cpbgf_100330-RA,cpbgf_100330
rna-gnl|cpbgf|cpbgf_100340-RA,cpbgf_100340
rna-gnl|cpbgf|cpbgf_100350-RA,cpbgf_100350
rna-gnl|cpbgf|cpbgf_100360-RA,cpbgf_100360
rna-cpbgf_100365,cpbgf_100365
rna-gnl|cpbgf|cpbgf_100370-RA,cpbgf_100370
rna-cpbgf_100385,cpbgf_100385
rna-gnl|cpbgf|cpbgf_100380-RA,cpbgf_100380
rna-gnl|cpbgf|cpbgf_100390-RA,cpbgf_100390
rna-gnl|cpbgf|cpbgf_100410-RA,cpbgf_100410
rna-gnl|cpbgf|cpbgf_100420-RA,cpbgf_100420
rna-gnl|cpbgf|cpbgf_100440-RA,cpbgf_100440
rna-gnl|cpbgf|cpbgf_100430-RA,cpbgf_100430
rna-gnl|cpbgf|cpbgf_100450-RA,cpbgf_100450
rna-gnl|cpbgf|cpbgf_100455-RA,cpbgf_100455
rna-gnl|cpbgf|cpbgf_100460-RA,cpbgf_100460
rna-gnl|cpbgf|cpbgf_100470-RA,cpbgf_100470
rna-gnl|cpbgf|cpbgf_100490-RA,cpbgf_100490
rna-gnl|cpbgf|cpbgf_100493-RA,cpbgf_100493
rna-gnl|cpbgf|cpbgf_100500-RA,cpbgf_100500
rna-gnl|cpbgf|cpbgf_100510-RA,cpbgf_100510
rna-cpbgf_100515,cpbgf_100515
rna-gnl|cpbgf|cpbgf_100520-RA,cpbgf_100520
rna-cpbgf_100525,cpbgf_100525
rna-gnl|cpbgf|cpbgf_100530-RA,cpbgf_100530
rna-gnl|cpbgf|cpbgf_100540-RA,cpbgf_100540
rna-gnl|cpbgf|cpbgf_100543-RA,cpbgf_100543
rna-gnl|cpbgf|cpbgf_100550-RA,cpbgf_100550
rna-gnl|cpbgf|cpbgf_100560-RA,cpbgf_100560
rna-gnl|cpbgf|cpbgf_100570-RA,cpbgf_100570
rna-gnl|cpbgf|cpbgf_100580-RA,cpbgf_100580
rna-gnl|cpbgf|cpbgf_100590-RA,cpbgf_100590
rna-gnl|cpbgf|cpbgf_100600-RA,cpbgf_100600
rna-gnl|cpbgf|cpbgf_100610-RA,cpbgf_100610
rna-gnl|cpbgf|cpbgf_100620-RA,cpbgf_100620
rna-gnl|cpbgf|cpbgf_100630-RA,cpbgf_100630
rna-gnl|cpbgf|cpbgf_100640-RA,cpbgf_100640
rna-cpbgf_100643,cpbgf_100643
rna-cpbgf_100647,cpbgf_100647
rna-cpbgf_100645,cpbgf_100645
rna-gnl|cpbgf|cpbgf_100650-RA,cpbgf_100650
rna-gnl|cpbgf|cpbgf_100660-RA,cpbgf_100660
rna-gnl|cpbgf|cpbgf_100670-RA,cpbgf_100670
rna-gnl|cpbgf|cpbgf_100680-RA,cpbgf_100680
rna-gnl|cpbgf|cpbgf_100690-RA,cpbgf_100690
rna-gnl|cpbgf|cpbgf_100700-RA,cpbgf_100700
rna-gnl|cpbgf|cpbgf_100710-RA,cpbgf_100710
rna-gnl|cpbgf|cpbgf_100720-RA,cpbgf_100720
rna-gnl|cpbgf|cpbgf_100730-RA,cpbgf_100730
rna-gnl|cpbgf|cpbgf_100733-RA,cpbgf_100733
rna-gnl|cpbgf|cpbgf_100740-RA,cpbgf_100740
rna-gnl|cpbgf|cpbgf_100750-RA,cpbgf_100750
rna-gnl|cpbgf|cpbgf_100760-RA,cpbgf_100760
rna-cpbgf_100755,cpbgf_100755
rna-gnl|cpbgf|cpbgf_100770-RA,cpbgf_100770
rna-cpbgf_100775,cpbgf_100775
rna-gnl|cpbgf|cpbgf_100780-RA,cpbgf_100780
rna-gnl|cpbgf|cpbgf_100790-RA,cpbgf_100790
rna-gnl|cpbgf|cpbgf_100800-RA,cpbgf_100800
rna-gnl|cpbgf|cpbgf_100810-RA,cpbgf_100810
rna-gnl|cpbgf|cpbgf_100820-RA,cpbgf_100820
rna-cpbgf_100813,cpbgf_100813
rna-cpbgf_100815,cpbgf_100815
rna-gnl|cpbgf|cpbgf_100830-RA,cpbgf_100830
rna-gnl|cpbgf|cpbgf_100840-RA,cpbgf_100840
rna-gnl|cpbgf|cpbgf_100843-RA,cpbgf_100843
rna-gnl|cpbgf|cpbgf_100850-RA,cpbgf_100850
rna-gnl|cpbgf|cpbgf_100860-RA,cpbgf_100860
rna-gnl|cpbgf|cpbgf_100870-RA,cpbgf_100870
rna-gnl|cpbgf|cpbgf_100880-RA,cpbgf_100880
rna-gnl|cpbgf|cpbgf_100890-RA,cpbgf_100890
rna-gnl|cpbgf|cpbgf_100900-RA,cpbgf_100900
rna-cpbgf_100905,cpbgf_100905
rna-gnl|cpbgf|cpbgf_100910-RA,cpbgf_100910
rna-gnl|cpbgf|cpbgf_100920-RA,cpbgf_100920
rna-gnl|cpbgf|cpbgf_100930-RA,cpbgf_100930
rna-gnl|cpbgf|cpbgf_100940-RA,cpbgf_100940
rna-gnl|cpbgf|cpbgf_100950-RA,cpbgf_100950
rna-gnl|cpbgf|cpbgf_100960-RA,cpbgf_100960
rna-gnl|cpbgf|cpbgf_100970-RA,cpbgf_100970
rna-cpbgf_100975,cpbgf_100975
rna-gnl|cpbgf|cpbgf_100980-RA,cpbgf_100980
rna-gnl|cpbgf|cpbgf_100990-RA,cpbgf_100990
rna-cpbgf_100985,cpbgf_100985
rna-cpbgf_100995,cpbgf_100995
