geneID,sex,group,description,notes,,,,,,,,,,
cgd4_130,female,Transcription and RNA ,RRM/KH domain containing protein,"Central RNA-binding domain,spanning KH domain (bind RNA or ssDNA)",,,,,,,,,,
cgd4_1360,female,Transcription and RNA ,"Zinc finger, C3HC4 type (RING) containing protein","N terminal transmembrane domain, C terminal RING domain, C terminal C3HC4 Zinc finger ",,,,,,,,,,
cgd7_70,female,Transcription and RNA ,Integral membrane protein with 6 transmembrane domains and possible ring domain,"7 transmembrane domains, C terminal RING domain, C terminal C3HC4 Zinc finger ",,,,,,,,,,
cgd2_3810,female,Transcription and RNA ,FCP1 homology/Dullard phosphatase/HAD-like domain containing protein,"Spanning Nuclear Lim Interactor (transcription factor interactor), C terminal HAD domain, C terminal FCP1 homology domain (transcription factor interactor)",,,,,,,,,,
cgd4_1110,female,Transcription and RNA ,AP2/ERF domain containing protein,"AP2-F, experimentally validated as female in C. parvum",,,,,,,,,,
cgd2_3490,female,Transcription and RNA ,AP2/ERF domain containing protein,"Predicted AP2 transcription factor, larger protein with AP2/ERF domain",,,,,,,,,,
cgd6_1330,female,Transcription and RNA ,Uncharacterized protein with CCCH-type Zinc finger,"Near N terminal Zinc finger, CCCH-type (DNA binding), medium protein",,,,,,,,,,
cgd1_1690,female,Transcription and RNA ,PHD finger containing protein,"PHD Zinc finger domain (transcriptional regulation), medium protein",,,,,,,,,,
cgd2_3970,female,Transcription and RNA ,RNA recognition motif domain containing protein,"Central RNA recognition motif, spanning BOULE/DAZ BOULE/DAZ family domain (RNA binding)",,,,,,,,,,
cgd2_510,female,Meiosis,Homologous-pairing protein 2,Central to spanning Homologous pairing (stimulates DMC1 mediated strand exchange) with central winged helix domain ,,,,,,,,,,
cgd5_1750,female,Meiosis,HORMA domain containing protein,"N terminal HORMA domain (meiotic spindle assembly checkpoint), medium protein",,,,,,,,,,
cgd7_1690,female,Meiosis,Rad51/DMC1/RadA DNA repair Protein,"Spanning Rad51 DNA recombination and repair protein, Rad51_DMC1_RadA ",,,,,,,,,,
cgd1_840,female,Meiosis,Meiotic nuclear division protein 1,"Central and C terminal HTH domain (DNA binding), Spanning Meiotic nuclear division protein (homologous recombination during meiosis)",,,,,,,,,,
cgd7_1000,female,Meiosis,Eukariotic RRM plus AlkB domain containing protein,"N terminal RNA-binding domain, central to C terminal Alpha-ketoglutarate-dependent dioxygenase domain (oxidation), DNA repair protein ALKBH8 homolog related ",,,,,,,,,,
cgd8_1020,female,Meiosis,Rad21/Rec8-like,"Spanning Rad21/Rec8-like domain (sister chromatid adhesion, cohesin complex) and C terminal Winged helix DNA-binding domain",,,,,,,,,,
cgd8_1350,female,Meiosis,Spo11/DNA topoisomerase 6 subunit A,TOP6A FAMILY Spo11/DNA topoisomerase VI subunit A,,,,,,,,,,
cgd1_2550,female,Transporters/Channels,Ctr copper transporter,3 transmembrane domains and Ctr Copper transporter,,,,,,,,,,
cgd6_2140,female,Transporters/Channels,Potassium channel domain containing protein,3 transmembrane domains and N terminal and central Calcium activated potassiun channel domains ,,,,,,,,,,
cgd5_3410,female,Transporters/Channels,Triose-phosphate Transporter family,9 transmembrane domains towards N terminus and N terminus to central sugar phosphate carrier domain,,,,,,,,,,
cgd7_2583,female,Transporters/Channels,Polysaccharide pyruvyl transferase,"9 transmembrane domains toward N terminus, central sugar phosphate transporter domain, and Polysaccharide pyruvyl transferase domain towards C terminus",,,,,,,,,,
cgd8_3910,female,Transporters/Channels,Major facilitator superfamily (MFS) domain containing protein,"11 transmembrane domains, spanning MFS transporter, medium protein",,,,,,,,,,
cgd7_4800,female,Transporters/Channels,Amino acid transporter,11 transmembrane domains and spanning Amino acid transporter domain ,,,,,,,,,,
cgd7_5130,female,Transporters/Channels,Uncharacterized protein,"N terminal to central NCS1 family purine/pyrimidine transporter, large protein",,,,,,,,,,
cgd8_20230,female,Transporters/Channels,Folate-biopterin transporter,"10 transmembrane domains, spanning MFS transporter, N terminal to central Biopterin transporter",,,,,,,,,,
cgd1_670,female,Secretory Proteins,Signal peptide region containing protein,"Signal peptide, large protein",,,,,,,,,,
cgd1_3830,female,Secretory Proteins,Uncharacterized protein,"Signal peptide, small protein, long 3' UTR",,,,,,,,,,
cgd4_1300,female,Secretory Proteins,Uncharacterized protein,"Signal peptide and transmembrane domain towards C terminus, medium protein. PANTHERDB call to extracellular matrix structural protein. ",,,,,,,,,,
cgd4_2430,female,Secretory Proteins,Uncharacterized protein,"Signal peptide and 2 central transmembrane domains, large protein",,,,,,,,,,
cgd5_1423,female,Secretory Proteins,Uncharacterized Secreted Protein (HCD gene family),"Signal peptide and (HCD=cholesterol processing?), large protein",,,,,,,,,,
