chr,type,start,end,strand,gbkey,locus_tag,product,old_ID,Name_Conversion,Notes
CP141118.1,mRNA,3333,4291,-,mRNA,cpbgf_1004000,hypothetical protein,cgd5_4610,no_direct_name,chr_change
CP141118.1,mRNA,4744,5695,-,mRNA,cpbgf_1003990,MEDLE gene family protein,cgd5_4600,no_direct_name,chr_change
CP141118.1,mRNA,5896,7043,-,mRNA,cpbgf_1003980,hypothetical protein,cgd5_4590,no_direct_name,chr_change
CP141118.1,mRNA,9033,9889,-,mRNA,cpbgf_1003970,MEDLE gene family protein,cgd5_4580,no_direct_name,chr_change
CP141118.1,mRNA,17804,18980,+,mRNA,cpbgf_1003960,Uncharacterized protein,cgd5_4570,no_direct_name,chr_change
CP141118.1,mRNA,19232,20449,-,mRNA,cpbgf_1003950,Tryptophan synthase beta chain,cgd5_4560,no_direct_name,chr_change
CP141118.1,mRNA,29678,31145,+,mRNA,cpbgf_1003920,Uncharacterized protein,cgd5_4530,no_direct_name,chr_change
CP141118.1,mRNA,30576,32630,-,mRNA,cpbgf_1003910,GMP synthase,cgd5_4520,no_direct_name,
CP141118.1,mRNA,32995,33783,+,mRNA,cpbgf_1003900,Uncharacterized protein,cgd5_4510,no_direct_name,chr_change
CP141118.1,mRNA,35181,36089,+,mRNA,cpbgf_1003890,Uncharacterized protein,cgd5_4510,no_direct_name,chr_change
CP141118.1,lnc_RNA,38260,41867,+,ncRNA,cpbgf_1003875,lncRNA,None,None,
CP141118.1,rRNA,38269,41713,-,rRNA,cpbgf_1003870,28S ribosomal RNA,None,None,
CP141118.1,rRNA,42887,44633,-,rRNA,cpbgf_1005860,18S ribosomal RNA,None,None,
CP141118.1,snRNA,45017,45522,-,ncRNA,cpbgf_1008,snRNA,None,None,
CP141118.1,mRNA,46918,48919,-,mRNA,cpbgf_10010,membrane associated protein,cgd1_10,direct_name,
CP141118.1,lnc_RNA,49027,49731,+,ncRNA,cpbgf_10013,lncRNA,None,None,
CP141118.1,mRNA,49082,50398,-,mRNA,cpbgf_10020,membrane associated protein,cgd1_20,direct_name,
CP141118.1,lnc_RNA,49957,50342,+,ncRNA,cpbgf_10015,lncRNA,None,None,
CP141118.1,mRNA,50868,56401,+,mRNA,cpbgf_10030,membrane associated protein,cgd1_30,direct_name,
CP141118.1,lnc_RNA,51030,54006,-,ncRNA,cpbgf_10025,lncRNA,None,None,
CP141118.1,mRNA,55971,57221,-,mRNA,cpbgf_10040,UDP-galactose transporter/UAA transporter,cgd1_40,direct_name,
CP141118.1,mRNA,57352,60444,+,mRNA,cpbgf_10050,Tetratricopeptide repeat protein,cgd1_50,direct_name,
CP141118.1,lnc_RNA,58191,61588,-,ncRNA,cpbgf_10065,lncRNA,None,None,
CP141118.1,mRNA,60432,61564,+,mRNA,cpbgf_10060,Cyclin dependent kinase A,cgd1_60,direct_name,
CP141118.1,mRNA,61587,61943,-,mRNA,cpbgf_10070,Uncharacterized protein,cgd1_70,direct_name,
CP141118.1,mRNA,62179,62622,-,mRNA,cpbgf_10080,Uncharacterized protein,cgd1_80,direct_name,
CP141118.1,mRNA,62729,65061,-,mRNA,cpbgf_10090,transcription factor subunit TAF6,cgd1_90,direct_name,
CP141118.1,mRNA,65220,68336,+,mRNA,cpbgf_100100,Uncharacterized protein,cgd1_100,direct_name,
CP141118.1,mRNA,68842,70211,+,mRNA,cpbgf_100110,Signal peptide region containing protein,cgd1_110,direct_name,
CP141118.1,mRNA,71850,73172,+,mRNA,cpbgf_100120,Signal peptide region containing protein,cgd1_120,direct_name,
CP141118.1,mRNA,73288,76290,+,mRNA,cpbgf_100130,Signal peptide region containing protein,cgd1_130,direct_name,
CP141118.1,lnc_RNA,74616,76623,-,ncRNA,cpbgf_100135,lncRNA,None,None,
CP141118.1,mRNA,76687,80332,+,mRNA,cpbgf_100140,putative Secreted Protein (CpLSP gene family),cgd1_140,direct_name,
CP141118.1,mRNA,83322,86482,+,mRNA,cpbgf_100150,putative Secreted Protein (SKSR gene family),cgd1_150,direct_name,
CP141118.1,mRNA,86729,91200,+,mRNA,cpbgf_100160,putative Secreted Protein (SKSR gene family),cgd1_160,direct_name,
CP141118.1,mRNA,93523,94380,+,mRNA,cpbgf_100170,Uncharacterized protein,cgd1_170,direct_name,
CP141118.1,mRNA,94850,96463,+,mRNA,cpbgf_100180,Uncharacterized protein,cgd1_180,direct_name,
CP141118.1,mRNA,96628,98636,+,mRNA,cpbgf_100190,Narf-like protein nuclear prelamin A recognition factor,cgd1_190,direct_name,
CP141118.1,mRNA,98614,99208,+,mRNA,cpbgf_100200,ADP-ribosylation factor family,cgd1_200,direct_name,
CP141118.1,mRNA,99253,99874,-,mRNA,cpbgf_100203,Ribosome biogenesis protein Nop16,cgd1_203,direct_name,
CP141118.1,mRNA,99978,100562,+,mRNA,cpbgf_100210,Uncharacterized protein,cgd1_210,direct_name,
CP141118.1,mRNA,100566,101896,-,mRNA,cpbgf_100220,Glycosylphosphatidylinositol transamidase,cgd1_220,direct_name,
