gene_name	motif_counts	gene_length	motif_counts_normalized_by_gene_length	avg_p_value	avg_motif_position	present_in_list	avg_q_value
cpbgf_7004020-RA	109	5811	18.757528824642918	3.226816513761468e-05	28.5283841622737	F	0.1949816513761468
cpbgf_8001340-RA	77	8421	9.14380714879468	3.855311688311688e-05	83.14857568509154	T	0.19927272727272727
cpbgf_300720-RA	70	35091	1.994813484939158	4.5064285714285714e-05	61.63228666691093	F	0.21130000000000002
cpbgf_5002500-RA	65	4860	13.37448559670782	3.99876923076923e-05	43.744381133270025	F	0.19864615384615386
cpbgf_4001290-RA	57	1680	33.92857142857142	3.750368421052632e-05	60.47775689223057	F	0.1975263157894737
cpbgf_2003920-RA	56	3708	15.102481121898599	3.687214285714286e-05	19.198354908306364	F	0.20083928571428572
cpbgf_5001220-RA	52	2350	22.127659574468087	3.637692307692308e-05	58.770867430441896	F	0.20038461538461538
cpbgf_100590-RA	47	7551	6.224341146867965	4.620063829787234e-05	91.9600616516905	T	0.21493617021276595
cpbgf_6004110-RA	44	5097	8.632528938591328	3.933863636363636e-05	14.751547255961617	T	0.1999090909090909
cpbgf_5002420-RA	41	3915	10.472541507024266	4.1229268292682925e-05	35.631249415942435	F	0.19953658536585364
cpbgf_8004840-RA	37	7230	5.117565698478562	4.241621621621622e-05	92.71634705244664	F	0.20402702702702705
cpbgf_300190-RA	35	2346	14.919011082693947	4.054e-05	33.913652417488734	F	0.2058
cpbgf_5003603-RA	31	3558	8.712759977515457	3.295645161290323e-05	56.260766287693336	F	0.19470967741935485
cpbgf_5002180-RA	23	4833	4.758948893027105	7.398260869565218e-05	71.3334053023147	F	0.24460869565217394
cpbgf_400510-RA	22	5418	4.060538944259874	3.8919545454545454e-05	73.87999597301922	F	0.19790909090909092
cpbgf_60060-RA	19	4689	4.052036681595223	4.0359473684210526e-05	93.34220067122381	F	0.202
cpbgf_2003550-RA	18	2583	6.968641114982578	3.736833333333333e-05	57.59882995655354	F	0.19872222222222222
cpbgf_6003940-RA	17	1128	15.070921985815602	3.870764705882353e-05	72.82801418439716	F	0.2005294117647059
cpbgf_2003490-RA	16	3828	4.179728317659353	4.608125e-05	63.007771682340646	F	0.2063125
cpbgf_300700-RA	15	3231	4.642525533890436	7.976666666666668e-05	49.71113174455793	F	0.2527333333333333
cpbgf_7001010-RA	13	17499	0.7428995942625293	4.546923076923077e-05	53.94440121853117	F	0.20884615384615385
cpbgf_3002620-RA	12	5688	2.109704641350211	2.3153333333333334e-05	84.6152719174871	F	0.19908333333333336
cpbgf_3001540-RA	11	4851	2.2675736961451247	4.297272727272727e-05	81.46867562451979	F	0.19954545454545453
cpbgf_7004500-RA	11	2493	4.412354592860008	4.2702727272727276e-05	26.541589176968237	F	0.2073636363636364
cpbgf_1003400-RA	10	1152	8.680555555555555	3.562e-05	46.28472222222222	F	0.1994
cpbgf_2003140-RA	10	2256	4.432624113475177	3.638e-05	64.01595744680851	F	0.1994
cpbgf_5001210-RA	10	1233	8.110300081103	4.054e-05	28.548256285482562	F	0.20579999999999998
cpbgf_8001160-RA	10	1563	6.397952655150352	4.546e-05	42.52079334612924	F	0.2122
cpbgf_8005380-RA	10	807	12.391573729863694	3.5615e-05	85.87360594795538	F	0.209
cpbgf_6001730-RA	9	16629	0.5412231643514342	6.679222222222223e-05	48.884144833991485	F	0.24300000000000002
cpbgf_6003730-RA	9	6810	1.3215859030837005	3.528888888888889e-05	60.10034263338228	F	0.19466666666666665
cpbgf_6003930-RA	9	2742	3.282275711159737	3.6577777777777776e-05	79.27911500121566	F	0.19433333333333336
cpbgf_600830-RA	9	9066	0.9927200529450695	4.116666666666667e-05	79.65107728509449	F	0.20277777777777778
cpbgf_8001220-RA	9	2085	4.316546762589928	3.486666666666666e-05	56.757260857980285	F	0.19466666666666665
cpbgf_400200-RA	8	5502	1.4540167211922936	4.79875e-05	81.6362231915667	F	0.21175
cpbgf_400260-RA	8	4080	1.9607843137254901	4.615e-05	80.17463235294117	F	0.20550000000000002
cpbgf_5002640-RA	8	2214	3.6133694670280034	5.01375e-05	43.05555555555556	F	0.21250000000000002
cpbgf_700420-RA	8	6129	1.3052700277369882	4.19e-05	15.04119758525045	F	0.196
cpbgf_8001250-RA	8	3453	2.3168259484506226	3.07e-05	16.29018245004344	F	0.193
cpbgf_8004110-RA	8	1806	4.4296788482834994	4.5525e-05	62.43078626799557	F	0.20750000000000002
cpbgf_100800-RA	7	1974	3.5460992907801416	3.07e-05	9.853090172239108	F	0.193
cpbgf_200220-RA	7	1419	4.933051444679352	3.574285714285714e-05	71.86650558743581	F	0.19757142857142856
cpbgf_3004150-RA	7	2244	3.1194295900178255	6.198571428571429e-05	39.93188184364654	F	0.22214285714285714
cpbgf_5001940-RA	7	7536	0.9288747346072187	6.397142857142856e-05	88.97387776766757	F	0.22942857142857145
cpbgf_6004290-RA	7	11418	0.6130670870555264	3.2300000000000006e-05	70.76107899807322	F	0.19342857142857145
cpbgf_8004940-RA	7	4254	1.6455101081335215	3.551428571428572e-05	84.52045133991537	F	0.19514285714285715
cpbgf_3001350-RA	6	3072	1.953125	6.37e-05	47.12456597222222	F	0.231
cpbgf_300440-RA	6	2328	2.577319587628866	5.633333333333333e-05	65.17038946162658	F	0.225
cpbgf_6003460-RA	6	2343	2.560819462227913	5.8288333333333336e-05	35.76611182244985	F	0.23066666666666666
cpbgf_6004170-RA	6	3003	1.998001998001998	4.77e-05	27.68897768897769	F	0.209
cpbgf_600500-RA	6	4998	1.2004801920768307	3.1333333333333334e-05	79.95531545951714	F	0.19299999999999998
cpbgf_700760-RA	6	2073	2.894356005788712	4.006666666666667e-05	69.7298601061264	F	0.1975
cpbgf_100180-RA	5	1587	3.15059861373661	3.0866e-05	20.93887838689351	F	0.1954
cpbgf_100750-RA	5	15741	0.3176418270757893	4.0706e-05	61.13652245727717	F	0.2082
cpbgf_2003780-RA	5	1584	3.1565656565656566	5.5886e-05	62.7209595959596	F	0.2314
cpbgf_2004380-RA	5	1434	3.486750348675035	3.146e-05	87.53835425383542	F	0.193
cpbgf_3002180-RA	5	24732	0.20216723273491835	6.172e-05	48.56178230632379	F	0.2298
cpbgf_300430-RA	5	13263	0.3769886149438287	5.4199999999999996e-05	77.16127572947298	F	0.2152
